Data_source,CAMHID,Site,SiteCode,Region,Year,Century,century_recode,d13C_whole_oto,d18O_whole_oto,d13C_juv,d18O_juv,d13C_adult,d18O_adult,Age_yr,Oto_section_diameter_mm,Estimated_fishlength_cm,VonB_fishlength_cm,VonB_residual,G_index,O18_Reynolds
CAMH,179,Gufuskalar,GFS,W,1470,15,15,0.09,5.16, , , , ,10,9.16,82.47321642,95.61,-1.313678358,0.862600318,3.58
CAMH,180,Gufuskalar,GFS,W,1470,15,15,-0.27,4.53, , , , ,9,7.33,60.82690854,90.24,-3.268121273,0.674057054,3.58
CAMH,181,Gufuskalar,GFS,W,1470,15,15,0.41,5.03, , , , ,10,8.61,75.78408651,95.61,-1.982591349,0.792637658,3.58
CAMH,182,Gjogur,GJ,NW,1425,15,15,-0.78,5.09, , , , ,10,9.53,87.05718446,95.61,-0.855281554,0.91054476,3.56
CAMH,183,Gjogur,GJ,NW,1425,15,15,-0.84,5.27, , , , ,7,7.26,60.0348098,77.77,-2.5335986,0.771953321,3.56
CAMH,184,Gjogur,GJ,NW,1425,15,15,-1.17,6.23, , , , ,12,10.18,95.26802894,104.92,-0.804330922,0.908006376,3.56
CAMH,  139A,Vatnskot,VTN,NW,925,10,10,-1.7,2.81, , , , ,8,7.83,66.6,84.31,-2.21,0.79,3.64
CAMH,  139B,Vatnskot,VTN,NW,925,10,10,-1.74,3.96, , , , ,8,7.14,58.7,84.31,-3.2,0.7,3.64
CAMH,  141A,Vatnskot,VTN,NW,925,10,10,-1.19,3.81, , , , ,8,8.28,71.8,84.31,-1.56,0.85,3.64
CAMH,  141B,Vatnskot,VTN,NW,925,10,10,-1.93,3.71, , , , ,8,7.39,61.6,84.31,-2.84,0.73,3.64
CAMH,  142A,Vatnskot,VTN,NW,925,10,10,-0.52,3.85, , , , ,17,10.55,100,121.57,-1.27,0.82,3.64
CAMH,  142B,Vatnskot,VTN,NW,925,10,10,-1.29,3.53, , , , ,6,6.4,50.5,70.56,-3.34,0.72,3.64
