Source,Historical_or_modern,CAMHID,Year,Century,Century_recoded,Length_cm,Age_yr,Predicted_length_cm,G_index,Region
hooks,2000-2010, ,2004,21,21,52,4,53.84,.965824665676077,W
hooks,2000-2010, ,2004,21,21,55,4,53.84,1.02154531946508,W
hooks,2000-2010, ,2004,21,21,55,4,53.84,1.02154531946508,W
hooks,2000-2010, ,2004,21,21,64,4,53.84,1.1887072808321,W
hooks,2000-2010, ,2004,21,21,65,4,53.84,1.2072808320951,W
hooks,2000-2010, ,2004,21,21,67,5,62.6,1.0702875399361,NW
hooks,2000-2010, ,2004,21,21,70,5,62.6,1.11821086261981,W
hooks,2000-2010, ,2004,21,21,63,7,77.77,.81008100810081,NW
hooks,2000-2010, ,2004,21,21,75,7,77.77,.964382152500964,NW
hooks,2000-2010, ,2005,21,21,55, , , ,W
hooks,2000-2010, ,2005,21,21,55, , , ,W
hooks,2000-2010, ,2005,21,21,87, , , ,W
hooks,2000-2010, ,2005,21,21,88, , , ,W
hooks,2000-2010, ,2005,21,21,47,3,44.18,1.06382978723404,NW
hooks,2000-2010, ,2005,21,21,47,3,44.18,1.06382978723404,W
hooks,2000-2010, ,2005,21,21,52,4,53.84,.965824665676077,W
hooks,2000-2010, ,2005,21,21,55,4,53.84,1.02154531946508,W
hooks,2000-2010, ,2005,21,21,50,5,62.6,.798722044728434,W
hooks,2000-2010, ,2005,21,21,56,5,62.6,.894568690095847,NW
hooks,2000-2010, ,2005,21,21,58,5,62.6,.926517571884984,NW
hooks,2000-2010, ,2005,21,21,61,5,62.6,.97444089456869,NW
hooks,2000-2010, ,2005,21,21,62,5,62.6,.990415335463259,W
hooks,2000-2010, ,2005,21,21,62,5,62.6,.990415335463259,W
hooks,2000-2010, ,2005,21,21,67,5,62.6,1.0702875399361,NW
hooks,2000-2010, ,2005,21,21,56,6,70.56,.793650793650794,NW
hooks,2000-2010, ,2005,21,21,64,6,70.56,.90702947845805,W
hooks,2000-2010, ,2005,21,21,66,6,70.56,.935374149659864,W
hooks,2000-2010, ,2005,21,21,69,6,70.56,.977891156462585,W
hooks,2000-2010, ,2005,21,21,70,6,70.56,.992063492063492,NW
hooks,2000-2010, ,2005,21,21,71,6,70.56,1.0062358276644,NW
hooks,2000-2010, ,2005,21,21,74,6,70.56,1.04875283446712,NW
hooks,2000-2010, ,2005,21,21,87,6,70.56,1.23299319727891,W
hooks,2000-2010, ,2005,21,21,64,7,77.77,.822939436800823,W
hooks,2000-2010, ,2005,21,21,67,7,77.77,.861514722900862,NW
hooks,2000-2010, ,2005,21,21,67,7,77.77,.861514722900862,W
hooks,2000-2010, ,2005,21,21,52,8,84.31,.616771438737991,NW
hooks,2000-2010, ,2006,21,21,50, , , ,NW
hooks,2000-2010, ,2006,21,21,52, , , ,W
hooks,2000-2010, ,2006,21,21,54, , , ,NW
hooks,2000-2010, ,2006,21,21,57, , , ,W
hooks,2000-2010, ,2006,21,21,57, , , ,W
hooks,2000-2010, ,2006,21,21,62, , , ,NW
hooks,2000-2010, ,2006,21,21,87, , , ,W
hooks,2000-2010, ,2006,21,21,95, , , ,NW
hooks,2000-2010, ,2006,21,21,42,3,44.18,.9506564056134,NW
hooks,2000-2010, ,2006,21,21,51,4,53.84,.947251114413076,NW
hooks,2000-2010, ,2006,21,21,55,4,53.84,1.02154531946508,NW
hooks,2000-2010, ,2006,21,21,57,5,62.6,.910543130990415,NW
hooks,2000-2010, ,2006,21,21,71,6,70.56,1.0062358276644,W
hooks,2000-2010, ,2006,21,21,73,6,70.56,1.03458049886621,W
hooks,2000-2010, ,2006,21,21,80,7,77.77,1.02867429600103,W
hooks,2000-2010, ,2006,21,21,88,7,77.77,1.13154172560113,W
hooks,2000-2010, ,2006,21,21,93,9,90.24,1.03058510638298,W
hooks,2000-2010, ,2007,21,21,95, , , ,W
hooks,2000-2010, ,2007,21,21,63,4,53.84,1.17013372956909,W
hooks,2000-2010, ,2007,21,21,63,4,53.84,1.17013372956909,W
hooks,2000-2010, ,2007,21,21,69,4,53.84,1.2815750371471,W
hooks,2000-2010, ,2007,21,21,54,5,62.6,.862619808306709,NW
hooks,2000-2010, ,2007,21,21,74,5,62.6,1.18210862619808,W
hooks,2000-2010, ,2007,21,21,61,6,70.56,.864512471655329,NW
hooks,2000-2010, ,2007,21,21,64,6,70.56,.90702947845805,W
hooks,2000-2010, ,2007,21,21,80,8,84.31,.948879136519986,W
hooks,2000-2010, ,2007,21,21,80,8,84.31,.948879136519986,W
hooks,2000-2010, ,2007,21,21,89,8,84.31,1.05562803937848,NW
hooks,2000-2010, ,2008,21,21,60, , , ,NW
hooks,2000-2010, ,2008,21,21,81, , , ,W
hooks,2000-2010, ,2008,21,21,52,5,62.6,.830670926517572,W
hooks,2000-2010, ,2008,21,21,63,5,62.6,1.00638977635783,W
hooks,2000-2010, ,2008,21,21,67,5,62.6,1.0702875399361,W
hooks,2000-2010, ,2008,21,21,73,5,62.6,1.16613418530351,W
hooks,2000-2010, ,2008,21,21,69,6,70.56,.977891156462585,W
hooks,2000-2010, ,2008,21,21,69,6,70.56,.977891156462585,W
hooks,2000-2010, ,2008,21,21,71,6,70.56,1.0062358276644,W
hooks,2000-2010, ,2008,21,21,71,6,70.56,1.0062358276644,W
hooks,2000-2010, ,2008,21,21,75,6,70.56,1.06292517006803,W
hooks,2000-2010, ,2008,21,21,57,7,77.77,.732930435900733,NW
hooks,2000-2010, ,2008,21,21,64,7,77.77,.822939436800823,NW
hooks,2000-2010, ,2009,21,21,63, , , ,W
hooks,2000-2010, ,2009,21,21,72, , , ,W
hooks,2000-2010, ,2009,21,21,80, , , ,W
